id,oid,host,port,community,value,group,dateticks
1,"1,3,1,4,2,4",demo.1.com,161,public,7,Unknown,1649021037903
1,"1,3,1,4,2,4",demo.1.com,161,public,5,Unknown,1649021097910
1,"1,3,1,4,2,4",demo.1.com,161,public,10,Unknown,1649021157919
1,"1,3,1,4,2,4",demo.1.com,161,public,4,four,1649021217931
1,"1,3,1,4,2,4",demo.1.com,161,public,1,Unknown,1649021277936
1,"1,3,1,4,2,4",demo.1.com,161,public,3,Unknown,1649021337941
1,"1,3,1,4,2,4",demo.1.com,161,public,3,Unknown,1649021397953
1,"1,3,1,4,2,4",demo.1.com,161,public,6,Unknown,1649021457956
1,"1,3,1,4,2,4",demo.1.com,161,public,1,Unknown,1649021517960
1,"1,3,1,4,2,4",demo.1.com,161,public,1,Unknown,1649021577962
1,"1,3,1,4,2,4",demo.1.com,161,public,0,Unknown,1649021637967
1,"1,3,1,4,2,4",demo.1.com,161,public,8,Unknown,1649021697981
1,"1,3,1,4,2,4",demo.1.com,161,public,4,four,1649021757992
